,Field,Subfield,Year,Month,Price
6,青羊,天府广场,2017,06,12969
7,青羊,天府广场,2017,05,12598
8,青羊,天府广场,2017,04,12885
9,青羊,天府广场,2017,03,12600
10,青羊,天府广场,2017,02,11654
11,青羊,天府广场,2017,01,10360
0,青羊,万家湾,2017,12,16060
1,青羊,万家湾,2017,11,15788
2,青羊,万家湾,2017,10,14589
3,青羊,万家湾,2017,09,13470
4,青羊,万家湾,2017,08,12949
5,青羊,万家湾,2017,07,13816
6,青羊,万家湾,2017,06,14384
7,青羊,万家湾,2017,05,14504
8,青羊,万家湾,2017,04,14340
9,青羊,万家湾,2017,03,13504
10,青羊,万家湾,2017,02,13406
11,青羊,万家湾,2017,01,13215
0,青羊,万家湾,2017,12,16060
1,青羊,万家湾,2017,11,15788
2,青羊,万家湾,2017,10,14589
3,青羊,万家湾,2017,09,13470
4,青羊,万家湾,2017,08,12949
5,青羊,万家湾,2017,07,13816
6,青羊,万家湾,2017,06,14384
7,青羊,万家湾,2017,05,14504
8,青羊,万家湾,2017,04,14340
9,青羊,万家湾,2017,03,13504
10,青羊,万家湾,2017,02,13406
11,青羊,万家湾,2017,01,13215
0,青羊,外光华,2017,12,18369
1,青羊,外光华,2017,11,18284
2,青羊,外光华,2017,10,16976
3,青羊,外光华,2017,09,15742
4,青羊,外光华,2017,08,15485
5,青羊,外光华,2017,07,16888
6,青羊,外光华,2017,06,14745
7,青羊,外光华,2017,05,13126
8,青羊,外光华,2017,04,14970
9,青羊,外光华,2017,03,13427
10,青羊,外光华,2017,02,13051
11,青羊,外光华,2017,01,12715
0,青羊,外光华,2017,12,18369
1,青羊,外光华,2017,11,18284
2,青羊,外光华,2017,10,16976
3,青羊,外光华,2017,09,15742
4,青羊,外光华,2017,08,15485
5,青羊,外光华,2017,07,16888
6,青羊,外光华,2017,06,14745
7,青羊,外光华,2017,05,13126
8,青羊,外光华,2017,04,14970
9,青羊,外光华,2017,03,13427
10,青羊,外光华,2017,02,13051
11,青羊,外光华,2017,01,12715
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,青羊,文殊院,2017,12,15136
1,青羊,文殊院,2017,11,14910
2,青羊,文殊院,2017,10,14066
3,青羊,文殊院,2017,09,13537
4,青羊,文殊院,2017,08,12984
5,青羊,文殊院,2017,07,12989
6,青羊,文殊院,2017,06,12249
7,青羊,文殊院,2017,05,11783
8,青羊,文殊院,2017,04,11045
9,青羊,文殊院,2017,03,10207
10,青羊,文殊院,2017,02,9733
11,青羊,文殊院,2017,01,9414
0,锦江,全部,2017,12,15755
1,锦江,全部,2017,11,15039
2,锦江,全部,2017,10,14145
3,锦江,全部,2017,09,13429
4,锦江,全部,2017,08,12867
5,锦江,全部,2017,07,12588
6,锦江,全部,2017,06,12460
7,锦江,全部,2017,05,12328
8,锦江,全部,2017,04,11853
9,锦江,全部,2017,03,11204
10,锦江,全部,2017,02,10609
11,锦江,全部,2017,01,10581
0,锦江,白鹭湾,2017,12,12613
0,锦江,白鹭湾,2017,12,12613
0,锦江,川师,2017,12,17400
1,锦江,川师,2017,11,16486
2,锦江,川师,2017,10,15918
3,锦江,川师,2017,09,14829
4,锦江,川师,2017,08,13321
5,锦江,川师,2017,07,12341
6,锦江,川师,2017,06,12003
7,锦江,川师,2017,05,11542
8,锦江,川师,2017,04,11092
9,锦江,川师,2017,03,10236
10,锦江,川师,2017,02,9015
11,锦江,川师,2017,01,8948
0,锦江,川师,2017,12,17400
1,锦江,川师,2017,11,16486
2,锦江,川师,2017,10,15918
3,锦江,川师,2017,09,14829
4,锦江,川师,2017,08,13321
5,锦江,川师,2017,07,12341
6,锦江,川师,2017,06,12003
7,锦江,川师,2017,05,11542
8,锦江,川师,2017,04,11092
9,锦江,川师,2017,03,10236
10,锦江,川师,2017,02,9015
11,锦江,川师,2017,01,8948
0,锦江,春熙路,2017,12,16550
1,锦江,春熙路,2017,11,15973
2,锦江,春熙路,2017,10,15187
3,锦江,春熙路,2017,09,14676
4,锦江,春熙路,2017,08,14505
5,锦江,春熙路,2017,07,14401
6,锦江,春熙路,2017,06,14455
7,锦江,春熙路,2017,05,14709
8,锦江,春熙路,2017,04,14042
9,锦江,春熙路,2017,03,13485
10,锦江,春熙路,2017,02,12203
11,锦江,春熙路,2017,01,12313
0,锦江,春熙路,2017,12,16550
1,锦江,春熙路,2017,11,15973
2,锦江,春熙路,2017,10,15187
3,锦江,春熙路,2017,09,14676
4,锦江,春熙路,2017,08,14505
5,锦江,春熙路,2017,07,14401
6,锦江,春熙路,2017,06,14455
7,锦江,春熙路,2017,05,14709
8,锦江,春熙路,2017,04,14042
9,锦江,春熙路,2017,03,13485
10,锦江,春熙路,2017,02,12203
11,锦江,春熙路,2017,01,12313
0,锦江,东湖公园,2017,12,19543
1,锦江,东湖公园,2017,11,25557
2,锦江,东湖公园,2017,10,25482
3,锦江,东湖公园,2017,09,25028
4,锦江,东湖公园,2017,08,24806
5,锦江,东湖公园,2017,07,24964
6,锦江,东湖公园,2017,06,23063
7,锦江,东湖公园,2017,05,21469
8,锦江,东湖公园,2017,04,21633
9,锦江,东湖公园,2017,03,20212
10,锦江,东湖公园,2017,02,18318
11,锦江,东湖公园,2017,01,17694
0,锦江,东湖公园,2017,12,19543
1,锦江,东湖公园,2017,11,25557
2,锦江,东湖公园,2017,10,25482
3,锦江,东湖公园,2017,09,25028
4,锦江,东湖公园,2017,08,24806
5,锦江,东湖公园,2017,07,24964
6,锦江,东湖公园,2017,06,23063
7,锦江,东湖公园,2017,05,21469
8,锦江,东湖公园,2017,04,21633
9,锦江,东湖公园,2017,03,20212
10,锦江,东湖公园,2017,02,18318
11,锦江,东湖公园,2017,01,17694
0,锦江,东光小区,2017,12,14383
1,锦江,东光小区,2017,11,13870
2,锦江,东光小区,2017,10,12977
3,锦江,东光小区,2017,09,12141
4,锦江,东光小区,2017,08,11968
5,锦江,东光小区,2017,07,11078
6,锦江,东光小区,2017,06,10160
7,锦江,东光小区,2017,05,9647
8,锦江,东光小区,2017,04,9239
9,锦江,东光小区,2017,03,8869
10,锦江,东光小区,2017,02,8245
11,锦江,东光小区,2017,01,8229
0,锦江,东光小区,2017,12,14383
1,锦江,东光小区,2017,11,13870
2,锦江,东光小区,2017,10,12977
3,锦江,东光小区,2017,09,12141
4,锦江,东光小区,2017,08,11968
5,锦江,东光小区,2017,07,11078
6,锦江,东光小区,2017,06,10160
7,锦江,东光小区,2017,05,9647
8,锦江,东光小区,2017,04,9239
9,锦江,东光小区,2017,03,8869
10,锦江,东光小区,2017,02,8245
11,锦江,东光小区,2017,01,8229
0,锦江,东门大桥,2017,12,15940
1,锦江,东门大桥,2017,11,15311
2,锦江,东门大桥,2017,10,14881
3,锦江,东门大桥,2017,09,13953
4,锦江,东门大桥,2017,08,13148
5,锦江,东门大桥,2017,07,13528
6,锦江,东门大桥,2017,06,13573
7,锦江,东门大桥,2017,05,13614
8,锦江,东门大桥,2017,04,13178
9,锦江,东门大桥,2017,03,11632
10,锦江,东门大桥,2017,02,11484
11,锦江,东门大桥,2017,01,11484
0,锦江,东门大桥,2017,12,15940
1,锦江,东门大桥,2017,11,15311
2,锦江,东门大桥,2017,10,14881
3,锦江,东门大桥,2017,09,13953
4,锦江,东门大桥,2017,08,13148
5,锦江,东门大桥,2017,07,13528
6,锦江,东门大桥,2017,06,13573
7,锦江,东门大桥,2017,05,13614
8,锦江,东门大桥,2017,04,13178
9,锦江,东门大桥,2017,03,11632
10,锦江,东门大桥,2017,02,11484
11,锦江,东门大桥,2017,01,11484
0,锦江,海椒市,2017,12,14589
1,锦江,海椒市,2017,11,14164
2,锦江,海椒市,2017,10,13060
3,锦江,海椒市,2017,09,12297
4,锦江,海椒市,2017,08,11802
5,锦江,海椒市,2017,07,11403
6,锦江,海椒市,2017,06,11145
7,锦江,海椒市,2017,05,10921
8,锦江,海椒市,2017,04,10378
9,锦江,海椒市,2017,03,9944
10,锦江,海椒市,2017,02,9400
11,锦江,海椒市,2017,01,9186
0,锦江,海椒市,2017,12,14589
1,锦江,海椒市,2017,11,14164
2,锦江,海椒市,2017,10,13060
3,锦江,海椒市,2017,09,12297
4,锦江,海椒市,2017,08,11802
5,锦江,海椒市,2017,07,11403
6,锦江,海椒市,2017,06,11145
7,锦江,海椒市,2017,05,10921
8,锦江,海椒市,2017,04,10378
9,锦江,海椒市,2017,03,9944
10,锦江,海椒市,2017,02,9400
11,锦江,海椒市,2017,01,9186
0,锦江,合江亭,2017,12,19270
1,锦江,合江亭,2017,11,18985
2,锦江,合江亭,2017,10,18809
3,锦江,合江亭,2017,09,17782
4,锦江,合江亭,2017,08,17586
5,锦江,合江亭,2017,07,15463
6,锦江,合江亭,2017,06,14888
7,锦江,合江亭,2017,05,14802
8,锦江,合江亭,2017,04,14629
9,锦江,合江亭,2017,03,12172
10,锦江,合江亭,2017,02,12137
11,锦江,合江亭,2017,01,12040
0,锦江,合江亭,2017,12,19270
1,锦江,合江亭,2017,11,18985
2,锦江,合江亭,2017,10,18809
3,锦江,合江亭,2017,09,17782
4,锦江,合江亭,2017,08,17586
5,锦江,合江亭,2017,07,15463
6,锦江,合江亭,2017,06,14888
7,锦江,合江亭,2017,05,14802
8,锦江,合江亭,2017,04,14629
9,锦江,合江亭,2017,03,12172
10,锦江,合江亭,2017,02,12137
11,锦江,合江亭,2017,01,12040
0,锦江,红星路,2017,12,15151
1,锦江,红星路,2017,11,14714
2,锦江,红星路,2017,10,13884
3,锦江,红星路,2017,09,13300
4,锦江,红星路,2017,08,13132
5,锦江,红星路,2017,07,12782
6,锦江,红星路,2017,06,12738
7,锦江,红星路,2017,05,12802
8,锦江,红星路,2017,04,12686
9,锦江,红星路,2017,03,12061
10,锦江,红星路,2017,02,11414
11,锦江,红星路,2017,01,11497
0,锦江,红星路,2017,12,15151
1,锦江,红星路,2017,11,14714
2,锦江,红星路,2017,10,13884
3,锦江,红星路,2017,09,13300
4,锦江,红星路,2017,08,13132
5,锦江,红星路,2017,07,12782
6,锦江,红星路,2017,06,12738
7,锦江,红星路,2017,05,12802
8,锦江,红星路,2017,04,12686
9,锦江,红星路,2017,03,12061
10,锦江,红星路,2017,02,11414
11,锦江,红星路,2017,01,11497
0,锦江,锦华路,2017,12,14448
1,锦江,锦华路,2017,11,13480
2,锦江,锦华路,2017,10,12157
3,锦江,锦华路,2017,09,11401
4,锦江,锦华路,2017,08,10814
5,锦江,锦华路,2017,07,11021
6,锦江,锦华路,2017,06,11087
7,锦江,锦华路,2017,05,11289
8,锦江,锦华路,2017,04,11582
9,锦江,锦华路,2017,03,11495
10,锦江,锦华路,2017,02,11518
11,锦江,锦华路,2017,01,11248
0,锦江,锦华路,2017,12,14448
1,锦江,锦华路,2017,11,13480
2,锦江,锦华路,2017,10,12157
3,锦江,锦华路,2017,09,11401
4,锦江,锦华路,2017,08,10814
5,锦江,锦华路,2017,07,11021
6,锦江,锦华路,2017,06,11087
7,锦江,锦华路,2017,05,11289
8,锦江,锦华路,2017,04,11582
9,锦江,锦华路,2017,03,11495
